Wall time,Step,Value
1714163704.196657,49,0.579172670841217
1714163710.2439764,99,0.6971809267997742
1714163716.1983836,149,0.664365828037262
1714163721.9650092,199,0.5775534510612488
1714163727.7652102,249,0.506249189376831
1714163733.5738506,299,0.43255317211151123
1714163751.200501,349,0.49932488799095154
1714163757.1223733,399,0.33497390151023865
1714163762.7996767,449,0.16477526724338531
1714163768.608154,499,0.25167006254196167
1714163774.400132,549,0.16594389081001282
1714163780.2760968,599,0.14757408201694489
